campo,valor,frecuencia,porcentaje
Sexo,Hombre,136,83.95
Sexo,Mujer,26,16.05
entidad,OAXACA,65,40.12
entidad,VERACRUZ,22,13.58
entidad,TABASCO,19,11.73
entidad,CHIAPAS,8,4.94
entidad,BAJA CALIFORNIA SUR,7,4.32
entidad,NAYARIT,6,3.7
entidad,MORELOS,6,3.7
entidad,SAN LUIS POTOSI,5,3.09
entidad,PUEBLA,5,3.09
entidad,GUANAJUATO,4,2.47
entidad,QUERETARO,3,1.85
entidad,GUERRERO,2,1.23
entidad,HIDALGO,2,1.23
entidad,JALISCO,2,1.23
entidad,QUINTANA ROO,2,1.23
entidad,SONORA,2,1.23
entidad,CDMX,1,0.62
entidad,COAHUILA,1,0.62
Municipio,,33,20.37
Municipio,San Cristóbal Amatlán,11,6.79
Municipio,San Andrés Zautla,11,6.79
Municipio,Altotonga,10,6.17
Municipio,San Lorenzo Cacaotepec,7,4.32
Municipio,Zaragoza,5,3.09
Municipio,San Andrés Ixtlahuaca,4,2.47
Municipio,Jalapa,4,2.47
Municipio,San Jacinto Amilpas,4,2.47
Municipio,Macuspana,3,1.85
Municipio,San Dionisio del Mar,3,1.85
Municipio,Perote,3,1.85
Municipio,La Reforma,3,1.85
Municipio,Santa Catalina Quieri,3,1.85
Municipio,Tetela del Volcán,2,1.23
Municipio,San Jerónimo Sosola,2,1.23
Municipio,Catazajá,2,1.23
Municipio,Ayoquezco de Aldama,2,1.23
Municipio,Concepción Pápalo,2,1.23
Municipio,Córdoba,2,1.23
Municipio,Magdalena Apasco,2,1.23
Municipio,Lerdo de Tejada,2,1.23
Municipio,Jonuta,2,1.23
Municipio,Bochil,2,1.23
Municipio,Xalpatláhuac,2,1.23
Municipio,Santiago Ixcuintla,2,1.23
Municipio,Zimapán,1,0.62
Municipio,Cunduacán,1,0.62
Municipio,Othón P. Blanco,1,0.62
Municipio,Nopala de Villagrán,1,0.62
Municipio,Corregidora,1,0.62
Municipio,Taniche,1,0.62
Municipio,Tlajomulco de Zúñiga,1,0.62
Municipio,Ciénega de Zimatlán,1,0.62
Municipio,La Antigua,1,0.62
Municipio,Tuzantán,1,0.62
Municipio,Tuzamapan de Galeana,1,0.62
Municipio,Capitán Luis Ángel Vidal,1,0.62
Municipio,Francisco Z. Mena,1,0.62
Municipio,San Nicolás,1,0.62
Municipio,Veracruz,1,0.62
Municipio,Temixco,1,0.62
Municipio,Villa Tejupam de la Unión,1,0.62
Municipio,Huimilpan,1,0.62
Municipio,Santiago Chazumba,1,0.62
Municipio,Salina Cruz,1,0.62
Municipio,Acayucan,1,0.62
Municipio,San Antonio Cañada,1,0.62
Municipio,La Yesca,1,0.62
Municipio,Coetzala,1,0.62
Municipio,Alto Lucero de Gutiérrez Barrios,1,0.62
Municipio,Matías Romero Avendaño,1,0.62
Municipio,Francisco I. Madero,1,0.62
Municipio,Santa María Atzompa,1,0.62
Municipio,El Nayar,1,0.62
Municipio,Teopisca,1,0.62
Municipio,Azcapotzalco,1,0.62
Municipio,Centro,1,0.62
Municipio,Santiago Miahuatlán ,1,0.62
Municipio,Emiliano Zapata,1,0.62
Relación Con La Víctima,Pares,61,37.65
Relación Con La Víctima,Ninguna,57,35.19
Relación Con La Víctima,Jerárquica,33,20.37
Relación Con La Víctima,Subordinación,5,3.09
Relación Con La Víctima,Otro,3,1.85
Relación Con La Víctima,Opositor en la contienda,2,1.23
Relación Con La Víctima,Otra,1,0.62
