estado,cve_ent,cve_mun,cvegeo,municipio_inegi,cabecera_inegi,estado_norm,municipio_inegi_norm
AGUASCALIENTES,01,001,01001,Aguascalientes,Aguascalientes,AGUASCALIENTES,AGUASCALIENTES
AGUASCALIENTES,01,002,01002,Asientos,,AGUASCALIENTES,ASIENTOS
AGUASCALIENTES,01,003,01003,Calvillo,,AGUASCALIENTES,CALVILLO
AGUASCALIENTES,01,004,01004,Cosío,,AGUASCALIENTES,COSIO
AGUASCALIENTES,01,005,01005,Jesús María,,AGUASCALIENTES,JESUS MARIA
AGUASCALIENTES,01,006,01006,Pabellón de Arteaga,,AGUASCALIENTES,PABELLON DE ARTEAGA
AGUASCALIENTES,01,007,01007,Rincón de Romos,,AGUASCALIENTES,RINCON DE ROMOS
AGUASCALIENTES,01,008,01008,San José de Gracia,,AGUASCALIENTES,SAN JOSE DE GRACIA
AGUASCALIENTES,01,009,01009,Tepezalá,,AGUASCALIENTES,TEPEZALA
AGUASCALIENTES,01,010,01010,El Llano,,AGUASCALIENTES,EL LLANO
AGUASCALIENTES,01,011,01011,San Francisco de los Romo,,AGUASCALIENTES,SAN FRANCISCO DE LOS ROMO
BAJA CALIFORNIA,02,001,02001,Ensenada,Asientos,BAJA CALIFORNIA,ENSENADA
BAJA CALIFORNIA,02,002,02002,Mexicali,,BAJA CALIFORNIA,MEXICALI
BAJA CALIFORNIA,02,003,02003,Tecate,,BAJA CALIFORNIA,TECATE
BAJA CALIFORNIA,02,004,02004,Tijuana,,BAJA CALIFORNIA,TIJUANA
BAJA CALIFORNIA,02,005,02005,Playas de Rosarito,,BAJA CALIFORNIA,PLAYAS DE ROSARITO
BAJA CALIFORNIA,02,006,02006,San Quintín,,BAJA CALIFORNIA,SAN QUINTIN
BAJA CALIFORNIA,02,007,02007,San Felipe,San Felipe,BAJA CALIFORNIA,SAN FELIPE
BAJA CALIFORNIA SUR,03,001,03001,Comondú,,BAJA CALIFORNIA SUR,COMONDU
