base_ine,vinculo_grupo,frecuencia_ine,porcentaje_ine,base_banavim,frecuencia_banavim,porcentaje_banavim
,COMUNITARIO_SOCIAL,0.0,0.0,BANAVIM,12235.0,1.52
,FAMILIAR,0.0,0.0,BANAVIM,71860.0,8.91
INE,INSTITUCIONAL_POLITICA,2.0,1.23,BANAVIM,515.0,0.06
INE,JERARQUICA_SUBORDINACION,38.0,23.46,BANAVIM,1927.0,0.24
,MISSING,0.0,0.0,BANAVIM,209481.0,25.99
INE,NINGUNA,57.0,35.19,,0.0,0.0
INE,OTRO,4.0,2.47,BANAVIM,31139.0,3.86
,PAREJA_EXPAREJA,0.0,0.0,BANAVIM,452936.0,56.19
INE,PARES,61.0,37.65,BANAVIM,1915.0,0.24
,REVISAR,0.0,0.0,BANAVIM,24084.0,2.99
