escenario,tipo,estado_municipio
ALTA,comun,CHIAPAS - CATAZAJA
ALTA,comun,CHIAPAS - TEOPISCA
ALTA,comun,CHIAPAS - TUZANTAN
ALTA,comun,COAHUILA - FRANCISCO I MADERO
ALTA,comun,HIDALGO - ZIMAPAN
ALTA,comun,MORELOS - TETELA DEL VOLCAN
ALTA,comun,OAXACA - SALINA CRUZ
ALTA,comun,OAXACA - SAN JACINTO AMILPAS
ALTA,comun,PUEBLA - FRANCISCO Z MENA
ALTA,comun,VERACRUZ - PEROTE
ALTA,solo_ine,CHIAPAS - BOCHIL
ALTA,solo_ine,CHIAPAS - CAPITAN LUIS ANGEL VIDAL
ALTA,solo_ine,NAYARIT - EL NAYAR
ALTA,solo_ine,OAXACA - AYOQUEZCO DE ALDAMA
ALTA,solo_ine,OAXACA - CIENEGA DE ZIMATLAN
ALTA,solo_ine,OAXACA - CONCEPCION PAPALO
ALTA,solo_ine,OAXACA - LA REFORMA
ALTA,solo_ine,OAXACA - MAGDALENA APASCO
ALTA,solo_ine,OAXACA - SAN ANDRES IXTLAHUACA
ALTA,solo_ine,OAXACA - SAN ANDRES ZAUTLA
ALTA,solo_ine,OAXACA - SAN CRISTOBAL AMATLAN
ALTA,solo_ine,OAXACA - SAN JERONIMO SOSOLA
ALTA,solo_ine,OAXACA - SAN LORENZO CACAOTEPEC
ALTA,solo_ine,OAXACA - SAN NICOLAS
ALTA,solo_ine,OAXACA - SANTA CATALINA QUIERI
ALTA,solo_ine,OAXACA - SANTA MARIA ATZOMPA
ALTA,solo_ine,OAXACA - SANTIAGO CHAZUMBA
ALTA,solo_ine,OAXACA - TANICHE
ALTA,solo_ine,OAXACA - VILLA TEJUPAM DE LA UNION
ALTA,solo_ine,PUEBLA - SAN ANTONIO CANADA
ALTA,solo_ine,PUEBLA - SANTIAGO MIAHUATLAN
ALTA,solo_ine,PUEBLA - TUZAMAPAN DE GALEANA
ALTA,solo_ine,SAN LUIS POTOSI - ZARAGOZA
ALTA,solo_ine,TABASCO - CUNDUACAN
ALTA,solo_ine,TABASCO - JALAPA
ALTA,solo_ine,TABASCO - JONUTA
ALTA,solo_ine,VERACRUZ - ALTO LUCERO DE GUTIERREZ BARRIOS
ALTA,solo_ine,VERACRUZ - ALTOTONGA
ALTA,solo_ine,VERACRUZ - COETZALA
ALTA,solo_ine,VERACRUZ - LERDO DE TEJADA
ALTA,solo_banavim,AGUASCALIENTES - AGUASCALIENTES
ALTA,solo_banavim,AGUASCALIENTES - ASIENTOS
ALTA,solo_banavim,AGUASCALIENTES - CALVILLO
ALTA,solo_banavim,AGUASCALIENTES - COSIO
ALTA,solo_banavim,AGUASCALIENTES - EL LLANO
ALTA,solo_banavim,AGUASCALIENTES - JESUS MARIA
ALTA,solo_banavim,AGUASCALIENTES - PABELLON DE ARTEAGA
ALTA,solo_banavim,AGUASCALIENTES - RINCON DE ROMOS
ALTA,solo_banavim,AGUASCALIENTES - SAN FRANCISCO DE LOS ROMO
