estado,municipio,estado_norm,municipio_norm,n_apariciones,base,escenario,aparece_en_ine,aparece_en_banavim,aparece_en_alta,aparece_en_alta_media
CAMPECHE,CIUDAD DEL CARMEN,CAMPECHE,CIUDAD DEL CARMEN,2,['BANAVIM'],"['ALTA', 'ALTA_MEDIA']",False,True,True,True
CAMPECHE,SAN FRANCISCO DE CAMPECHE,CAMPECHE,SAN FRANCISCO DE CAMPECHE,2,['BANAVIM'],"['ALTA', 'ALTA_MEDIA']",False,True,True,True
CAMPECHE,XPUJIL,CAMPECHE,XPUJIL,1,['BANAVIM'],['ALTA_MEDIA'],False,True,False,True
CHIAPAS,CINTALAPA,CHIAPAS,CINTALAPA,2,['BANAVIM'],"['ALTA', 'ALTA_MEDIA']",False,True,True,True
COLIMA,CIUDAD DE ARMERIA,COLIMA,CIUDAD DE ARMERIA,2,['BANAVIM'],"['ALTA', 'ALTA_MEDIA']",False,True,True,True
COLIMA,CIUDAD DE VILLA DE ALVAREZ,COLIMA,CIUDAD DE VILLA DE ALVAREZ,2,['BANAVIM'],"['ALTA', 'ALTA_MEDIA']",False,True,True,True
NAYARIT,EL NAYAR,NAYARIT,EL NAYAR,2,['INE'],"['ALTA', 'ALTA_MEDIA']",True,False,True,True
OAXACA,MAGDALENA APASCO,OAXACA,MAGDALENA APASCO,3,"['BANAVIM', 'INE']","['ALTA', 'ALTA_MEDIA']",True,True,True,True
OAXACA,SANTIAGO CHAZUMBA,OAXACA,SANTIAGO CHAZUMBA,2,['INE'],"['ALTA', 'ALTA_MEDIA']",True,False,True,True
QUINTANA ROO,SOLIDARIDAD,QUINTANA ROO,SOLIDARIDAD,2,['BANAVIM'],"['ALTA', 'ALTA_MEDIA']",False,True,True,True
