escenario,base,estado,municipio_no_encontrado,candidato_inegi,cvegeo,similitud,fortaleza
ALTA,BANAVIM,CAMPECHE,CIUDAD DEL CARMEN,Carmen,04003,0.5217,DEBIL
ALTA,BANAVIM,CAMPECHE,CIUDAD DEL CARMEN,Candelaria,04011,0.5185,DEBIL
ALTA,BANAVIM,CAMPECHE,CIUDAD DEL CARMEN,Hecelchakán,04005,0.4286,DEBIL
ALTA,BANAVIM,CAMPECHE,SAN FRANCISCO DE CAMPECHE,Campeche,04002,0.4848,DEBIL
ALTA,BANAVIM,CAMPECHE,SAN FRANCISCO DE CAMPECHE,Hopelchén,04006,0.3529,DEBIL
ALTA,BANAVIM,CAMPECHE,SAN FRANCISCO DE CAMPECHE,Candelaria,04011,0.2857,DEBIL
ALTA,BANAVIM,CHIAPAS,CINTALAPA,Tapalapa,07090,0.7059,DUDOSO
ALTA,BANAVIM,CHIAPAS,CINTALAPA,Copainalá,07021,0.6667,DUDOSO
ALTA,BANAVIM,CHIAPAS,CINTALAPA,Ixtapa,07044,0.6667,DUDOSO
ALTA,BANAVIM,COLIMA,CIUDAD DE ARMERIA,Armería,06001,0.5833,DEBIL
ALTA,BANAVIM,COLIMA,CIUDAD DE ARMERIA,Villa de Álvarez,06010,0.5455,DEBIL
ALTA,BANAVIM,COLIMA,CIUDAD DE ARMERIA,Cuauhtémoc,06005,0.3704,DEBIL
ALTA,BANAVIM,COLIMA,CIUDAD DE VILLA DE ALVAREZ,Villa de Álvarez,06010,0.7619,DUDOSO
ALTA,BANAVIM,COLIMA,CIUDAD DE VILLA DE ALVAREZ,Minatitlán,06008,0.2778,DEBIL
ALTA,BANAVIM,COLIMA,CIUDAD DE VILLA DE ALVAREZ,Coquimatlán,06004,0.2703,DEBIL
ALTA,BANAVIM,QUINTANA ROO,SOLIDARIDAD,Lázaro Cárdenas,23007,0.3846,DEBIL
ALTA,BANAVIM,QUINTANA ROO,SOLIDARIDAD,Isla Mujeres,23003,0.3478,DEBIL
ALTA,BANAVIM,QUINTANA ROO,SOLIDARIDAD,José María Morelos,23006,0.3448,DEBIL
ALTA,INE,NAYARIT,EL NAYAR,Del Nayar,18009,0.9412,MODERADO
ALTA,INE,NAYARIT,EL NAYAR,Tecuala,18016,0.4,DEBIL
ALTA,INE,NAYARIT,EL NAYAR,Ixtlán del Río,18006,0.3636,DEBIL
ALTA,INE,OAXACA,MAGDALENA APASCO,Magdalena Apazco,20045,0.9375,MODERADO
