estado,municipio,base,escenario,estado_norm,municipio_norm,cambio_detectable,municipio_inegi_norm,municipio_inegi,cve_ent,cve_mun,cvegeo,existe_en_inegi
AGUASCALIENTES,AGUASCALIENTES,BANAVIM,ALTA,AGUASCALIENTES,AGUASCALIENTES,False,AGUASCALIENTES,Aguascalientes,01,001,01001,True
AGUASCALIENTES,ASIENTOS,BANAVIM,ALTA,AGUASCALIENTES,ASIENTOS,False,ASIENTOS,Asientos,01,002,01002,True
AGUASCALIENTES,CALVILLO,BANAVIM,ALTA,AGUASCALIENTES,CALVILLO,False,CALVILLO,Calvillo,01,003,01003,True
AGUASCALIENTES,COSIO,BANAVIM,ALTA,AGUASCALIENTES,COSIO,False,COSIO,Cosío,01,004,01004,True
AGUASCALIENTES,EL LLANO,BANAVIM,ALTA,AGUASCALIENTES,EL LLANO,False,EL LLANO,El Llano,01,010,01010,True
AGUASCALIENTES,JESUS MARIA,BANAVIM,ALTA,AGUASCALIENTES,JESUS MARIA,False,JESUS MARIA,Jesús María,01,005,01005,True
AGUASCALIENTES,PABELLON DE ARTEAGA,BANAVIM,ALTA,AGUASCALIENTES,PABELLON DE ARTEAGA,False,PABELLON DE ARTEAGA,Pabellón de Arteaga,01,006,01006,True
AGUASCALIENTES,RINCON DE ROMOS,BANAVIM,ALTA,AGUASCALIENTES,RINCON DE ROMOS,False,RINCON DE ROMOS,Rincón de Romos,01,007,01007,True
AGUASCALIENTES,SAN FRANCISCO DE LOS ROMO,BANAVIM,ALTA,AGUASCALIENTES,SAN FRANCISCO DE LOS ROMO,False,SAN FRANCISCO DE LOS ROMO,San Francisco de los Romo,01,011,01011,True
AGUASCALIENTES,SAN JOSE DE GRACIA,BANAVIM,ALTA,AGUASCALIENTES,SAN JOSE DE GRACIA,False,SAN JOSE DE GRACIA,San José de Gracia,01,008,01008,True
BAJA CALIFORNIA,ENSENADA,BANAVIM,ALTA,BAJA CALIFORNIA,ENSENADA,False,ENSENADA,Ensenada,02,001,02001,True
BAJA CALIFORNIA,MEXICALI,BANAVIM,ALTA,BAJA CALIFORNIA,MEXICALI,False,MEXICALI,Mexicali,02,002,02002,True
BAJA CALIFORNIA,TIJUANA,BANAVIM,ALTA,BAJA CALIFORNIA,TIJUANA,False,TIJUANA,Tijuana,02,004,02004,True
BAJA CALIFORNIA SUR,LA PAZ,BANAVIM,ALTA,BAJA CALIFORNIA SUR,LA PAZ,False,LA PAZ,La Paz,03,003,03003,True
BAJA CALIFORNIA SUR,LOS CABOS,BANAVIM,ALTA,BAJA CALIFORNIA SUR,LOS CABOS,False,LOS CABOS,Los Cabos,03,008,03008,True
CAMPECHE,CIUDAD DEL CARMEN,BANAVIM,ALTA,CAMPECHE,CIUDAD DEL CARMEN,False,,,,,,False
CAMPECHE,SAN FRANCISCO DE CAMPECHE,BANAVIM,ALTA,CAMPECHE,SAN FRANCISCO DE CAMPECHE,False,,,,,,False
CDMX,ALVARO OBREGON,BANAVIM,ALTA,CDMX,ALVARO OBREGON,False,ALVARO OBREGON,Álvaro Obregón,09,010,09010,True
CDMX,AZCAPOTZALCO,BANAVIM,ALTA,CDMX,AZCAPOTZALCO,False,AZCAPOTZALCO,Azcapotzalco,09,002,09002,True
CDMX,BENITO JUAREZ,BANAVIM,ALTA,CDMX,BENITO JUAREZ,False,BENITO JUAREZ,Benito Juárez,09,014,09014,True
CDMX,COYOACAN,BANAVIM,ALTA,CDMX,COYOACAN,False,COYOACAN,Coyoacán,09,003,09003,True
CDMX,CUAJIMALPA DE MORELOS,BANAVIM,ALTA,CDMX,CUAJIMALPA DE MORELOS,False,CUAJIMALPA DE MORELOS,Cuajimalpa de Morelos,09,004,09004,True
CDMX,CUAUHTEMOC,BANAVIM,ALTA,CDMX,CUAUHTEMOC,False,CUAUHTEMOC,Cuauhtémoc,09,015,09015,True
CDMX,GUSTAVO A MADERO,BANAVIM,ALTA,CDMX,GUSTAVO A MADERO,False,GUSTAVO A MADERO,Gustavo A. Madero,09,005,09005,True
CDMX,IZTAPALAPA,BANAVIM,ALTA,CDMX,IZTAPALAPA,False,IZTAPALAPA,Iztapalapa,09,007,09007,True
CDMX,MIGUEL HIDALGO,BANAVIM,ALTA,CDMX,MIGUEL HIDALGO,False,MIGUEL HIDALGO,Miguel Hidalgo,09,016,09016,True
CDMX,TLAHUAC,BANAVIM,ALTA,CDMX,TLAHUAC,False,TLAHUAC,Tláhuac,09,011,09011,True
CDMX,TLALPAN,BANAVIM,ALTA,CDMX,TLALPAN,False,TLALPAN,Tlalpan,09,012,09012,True
CDMX,VENUSTIANO CARRANZA,BANAVIM,ALTA,CDMX,VENUSTIANO CARRANZA,False,VENUSTIANO CARRANZA,Venustiano Carranza,09,017,09017,True
CHIAPAS,ACACOYAGUA,BANAVIM,ALTA,CHIAPAS,ACACOYAGUA,False,ACACOYAGUA,Acacoyagua,07,001,07001,True
CHIAPAS,ACALA,BANAVIM,ALTA,CHIAPAS,ACALA,False,ACALA,Acala,07,002,07002,True
CHIAPAS,ALDAMA,BANAVIM,ALTA,CHIAPAS,ALDAMA,False,ALDAMA,Aldama,07,113,07113,True
CHIAPAS,ALTAMIRANO,BANAVIM,ALTA,CHIAPAS,ALTAMIRANO,False,ALTAMIRANO,Altamirano,07,004,07004,True
CHIAPAS,ARRIAGA,BANAVIM,ALTA,CHIAPAS,ARRIAGA,False,ARRIAGA,Arriaga,07,009,07009,True
CHIAPAS,BERRIOZABAL,BANAVIM,ALTA,CHIAPAS,BERRIOZABAL,False,BERRIOZABAL,Berriozábal,07,012,07012,True
CHIAPAS,CACAHOATAN,BANAVIM,ALTA,CHIAPAS,CACAHOATAN,False,CACAHOATAN,Cacahoatán,07,015,07015,True
CHIAPAS,CATAZAJA,BANAVIM,ALTA,CHIAPAS,CATAZAJA,False,CATAZAJA,Catazajá,07,016,07016,True
CHIAPAS,CHALCHIHUITAN,BANAVIM,ALTA,CHIAPAS,CHALCHIHUITAN,False,CHALCHIHUITAN,Chalchihuitán,07,022,07022,True
CHIAPAS,CHENALHO,BANAVIM,ALTA,CHIAPAS,CHENALHO,False,CHENALHO,Chenalhó,07,026,07026,True
CHIAPAS,CHIAPA DE CORZO,BANAVIM,ALTA,CHIAPAS,CHIAPA DE CORZO,False,CHIAPA DE CORZO,Chiapa de Corzo,07,027,07027,True
CHIAPAS,CINTALAPA,BANAVIM,ALTA,CHIAPAS,CINTALAPA,False,,,,,,False
CHIAPAS,COMITAN DE DOMINGUEZ,BANAVIM,ALTA,CHIAPAS,COMITAN DE DOMINGUEZ,False,COMITAN DE DOMINGUEZ,Comitán de Domínguez,07,019,07019,True
CHIAPAS,HUIXTLA,BANAVIM,ALTA,CHIAPAS,HUIXTLA,False,HUIXTLA,Huixtla,07,040,07040,True
CHIAPAS,IXTACOMITAN,BANAVIM,ALTA,CHIAPAS,IXTACOMITAN,False,IXTACOMITAN,Ixtacomitán,07,043,07043,True
CHIAPAS,LARRAINZAR,BANAVIM,ALTA,CHIAPAS,LARRAINZAR,False,LARRAINZAR,Larráinzar,07,049,07049,True
CHIAPAS,LAS ROSAS,BANAVIM,ALTA,CHIAPAS,LAS ROSAS,False,LAS ROSAS,Las Rosas,07,075,07075,True
CHIAPAS,MITONTIC,BANAVIM,ALTA,CHIAPAS,MITONTIC,False,MITONTIC,Mitontic,07,056,07056,True
CHIAPAS,MOTOZINTLA,BANAVIM,ALTA,CHIAPAS,MOTOZINTLA,False,MOTOZINTLA,Motozintla,07,057,07057,True
CHIAPAS,OCOSINGO,BANAVIM,ALTA,CHIAPAS,OCOSINGO,False,OCOSINGO,Ocosingo,07,059,07059,True
CHIAPAS,OCOZOCOAUTLA DE ESPINOSA,BANAVIM,ALTA,CHIAPAS,OCOZOCOAUTLA DE ESPINOSA,False,OCOZOCOAUTLA DE ESPINOSA,Ocozocoautla de Espinosa,07,061,07061,True
CHIAPAS,OSUMACINTA,BANAVIM,ALTA,CHIAPAS,OSUMACINTA,False,OSUMACINTA,Osumacinta,07,063,07063,True
CHIAPAS,PICHUCALCO,BANAVIM,ALTA,CHIAPAS,PICHUCALCO,False,PICHUCALCO,Pichucalco,07,068,07068,True
CHIAPAS,REFORMA,BANAVIM,ALTA,CHIAPAS,REFORMA,False,REFORMA,Reforma,07,074,07074,True
CHIAPAS,SAN CRISTOBAL DE LAS CASAS,BANAVIM,ALTA,CHIAPAS,SAN CRISTOBAL DE LAS CASAS,False,SAN CRISTOBAL DE LAS CASAS,San Cristóbal de las Casas,07,078,07078,True
CHIAPAS,SAN FERNANDO,BANAVIM,ALTA,CHIAPAS,SAN FERNANDO,False,SAN FERNANDO,San Fernando,07,079,07079,True
